UniqueID,StreamSide,StreamDistance,DownStream,SubDownStream,Elevation,DepthBin,Mortality,Sizemm,Sediment4000,Sediment2000,Sediment500,Sediment250,Sediment125,Sediment63,Sediment0,
S5 80-0,S,5,80,0,2.41,15,A,44.71,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 90-0,S,5,90,0,2.26,0,A,40.76,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,0,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,0,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,5,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,5,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,10,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,10,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,10,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,10,D,,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,5,A,49.57,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,5,A,45.11,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,15,A,44.24,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,15,A,44.49,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,15,A,41.63,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 90-0,S,5,90,0,2.26,15,A,25.57,0.5092,0.2482,0.2093,0.0288,0.0039,0.0005,0.0001,
S5 100-1,S,5,100,1,2.17,0,Z,,0.4868,0.2448,0.2335,0.0292,0.0053,0.0004,0.0001,
S5 100-1,S,5,100,1,2.17,5,Z,,0.4868,0.2448,0.2335,0.0292,0.0053,0.0004,0.0001,
S5 100-1,S,5,100,1,2.17,10,D,,0.4868,0.2448,0.2335,0.0292,0.0053,0.0004,0.0001,
S5 100-1,S,5,100,1,2.17,10,D,,0.4868,0.2448,0.2335,0.0292,0.0053,0.0004,0.0001,
S5 100-1,S,5,100,1,2.17,15,Z,,0.4868,0.2448,0.2335,0.0292,0.0053,0.0004,0.0001,
S5 110-0,S,5,110,0,1.98,0,Z,,0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,
S5 110-0,S,5,110,0,1.98,5,Z,,0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,
S5 110-0,S,5,110,0,1.98,10,A,38.38,0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,
S5 110-0,S,5,110,0,1.98,10,A,19.22,0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,
S5 110-0,S,5,110,0,1.98,15,Z,,0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,
S5 120-6,S,5,120,6,1.53,0,Z,,0.5246,0.2286,0.2017,0.0273,0.0152,0.0023,0.0004,
S5 120-6,S,5,120,6,1.53,5,A,61.79,0.5246,0.2286,0.2017,0.0273,0.0152,0.0023,0.0004,
S5 120-6,S,5,120,6,1.53,10,Z,,0.5246,0.2286,0.2017,0.0273,0.0152,0.0023,0.0004,
S5 120-6,S,5,120,6,1.53,15,Z,,0.5246,0.2286,0.2017,0.0273,0.0152,0.0023,0.0004,
S5 130-0,S,5,130,0,1.63,0,Z,,0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,0.0008,
S5 130-0,S,5,130,0,1.63,5,Z,,0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,0.0008,
S5 130-0,S,5,130,0,1.63,10,A,45.87,0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,0.0008,
S5 130-0,S,5,130,0,1.63,15,A,64.79,0.3742,0.2777,0.2846,0.0492,0.0112,0.0022,0.0008,
S5 140-3,S,5,140,3,1.25,0,Z,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,5,Z,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,10,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,10,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,10,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,10,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,15,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S5 140-3,S,5,140,3,1.25,15,D,,0.553,0.1588,0.1708,0.07,0.0387,0.0069,0.0017,
S10 30-0,S,10,30,0,3.81,0,Z,,,,,,,,,
S10 30-0,S,10,30,0,3.81,5,Z,,,,,,,,,
S10 30-0,S,10,30,0,3.81,10,Z,,,,,,,,,
S10 30-0,S,10,30,0,3.81,15,Z,,,,,,,,,
S10 40-4,S,10,40,4,3.22,0,Z,,0.5355,0.1514,0.2424,0.058,0.0088,0.0025,0.0014,
S10 40-4,S,10,40,4,3.22,5,Z,,0.5355,0.1514,0.2424,0.058,0.0088,0.0025,0.0014,
S10 40-4,S,10,40,4,3.22,10,Z,,0.5355,0.1514,0.2424,0.058,0.0088,0.0025,0.0014,
S10 40-4,S,10,40,4,3.22,15,Z,,0.5355,0.1514,0.2424,0.058,0.0088,0.0025,0.0014,
S10 50-7,S,10,50,7,2.82,10,A,33.43,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,0,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,0,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,5,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,5,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,5,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,5,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,10,D,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 50-7,S,10,50,7,2.82,15,Z,,0.2211,0.115,0.4607,0.164,0.0311,0.0049,0.0033,
S10 60-5,S,10,60,5,2.63,10,Z,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,15,A,45.81,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,0,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,5,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
