"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","DownStreamTotal","PC1","APresence","DPresence"
"S2 10-2","S",2,3.94,10,"D",NA,12,-0.203205915686158,0,1
"S2 10-2","S",2,3.94,15,"Z",NA,12,-0.203205915686158,0,0
"N5 120-8","N",5,1.56,0,"Z",NA,128,-1.90190445342809,0,0
"N5 120-8","N",5,1.56,5,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,5,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,10,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,10,"D",NA,128,-1.90190445342809,0,1
"N5 120-8","N",5,1.56,15,"Z",NA,128,-1.90190445342809,0,0
"C 40-9","C",0,2.8,0,"D",NA,49,-5.28893677558363,0,1
"C 40-9","C",0,2.8,5,"Z",NA,49,-5.28893677558363,0,0
"C 40-9","C",0,2.8,10,"Z",NA,49,-5.28893677558363,0,0
"C 40-9","C",0,2.8,15,"Z",NA,49,-5.28893677558363,0,0
"S5 20-5","S",5,3.74,0,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,5,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,10,"Z",NA,25,0.634766996648482,0,0
"S5 20-5","S",5,3.74,15,"D",NA,25,0.634766996648482,0,1
"S10 140-6","S",10,1.42,0,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,5,"D",NA,146,2.04780033277511,0,1
"S10 140-6","S",10,1.42,15,"D",NA,146,2.04780033277511,0,1
"S10 50-7","S",10,2.82,0,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,0,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,5,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,10,"D",NA,57,5.7498060467405,0,1
"S10 50-7","S",10,2.82,15,"Z",NA,57,5.7498060467405,0,0
"N5 20-9","N",5,3.93,10,"D",NA,29,-0.393591854566171,0,1
"N10 50-3","N",10,2.65,0,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,5,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,10,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,15,"D",NA,53,3.65229579822368,0,1
"N10 50-3","N",10,2.65,15,"D",NA,53,3.65229579822368,0,1
"N10 110-5","N",10,1.46,0,"D",NA,115,-1.9243912137086,0,1
"N10 110-5","N",10,1.46,5,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,10,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,15,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,0,"D",NA,115,-1.9243912137086,0,1
"N10 110-5","N",10,1.46,5,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,10,"Z",NA,115,-1.9243912137086,0,0
"N10 110-5","N",10,1.46,15,"Z",NA,115,-1.9243912137086,0,0
"N10 80-5","N",10,2.1,0,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,5,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,10,"D",NA,85,-0.155573608081785,0,1
"N10 80-5","N",10,2.1,15,"Z",NA,85,-0.155573608081785,0,0
"S2 0-5","S",2,4.14,0,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,5,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,10,"Z",NA,5,0.13502356138823,0,0
"S2 0-5","S",2,4.14,15,"Z",NA,5,0.13502356138823,0,0
"S10 40-4","S",10,3.22,0,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,5,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,10,"Z",NA,44,1.48994810255223,0,0
"S10 40-4","S",10,3.22,15,"Z",NA,44,1.48994810255223,0,0
"S2 30-7","S",2,3.24,0,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,5,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,10,"Z",NA,37,1.117810462253,0,0
"S2 30-7","S",2,3.24,15,"Z",NA,37,1.117810462253,0,0
"N2 50-0","N",2,2.77,0,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,5,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,10,"Z",NA,50,-1.16562252984988,0,0
"N2 50-0","N",2,2.77,15,"Z",NA,50,-1.16562252984988,0,0
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,0,"D",NA,92,-1.30811497910788,0,1
"C 90-2","C",0,1.95,5,"Z",NA,92,-1.30811497910788,0,0
"C 90-2","C",0,1.95,10,"Z",NA,92,-1.30811497910788,0,0
"C 90-2","C",0,1.95,15,"Z",NA,92,-1.30811497910788,0,0
"N2 60-1","N",2,2.57,0,"D",NA,61,-0.672103963060546,0,1
"N2 60-1","N",2,2.57,5,"Z",NA,61,-0.672103963060546,0,0
"N2 60-1","N",2,2.57,10,"Z",NA,61,-0.672103963060546,0,0
"N2 60-1","N",2,2.57,15,"Z",NA,61,-0.672103963060546,0,0
"C 20-6","C",0,3.54,0,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,5,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,10,"Z",NA,26,NA,0,0
"C 20-6","C",0,3.54,15,"Z",NA,26,NA,0,0
"S5 140-3","S",5,1.25,0,"Z",NA,143,2.33826805589518,0,0
"S5 140-3","S",5,1.25,5,"Z",NA,143,2.33826805589518,0,0
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,10,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,15,"D",NA,143,2.33826805589518,0,1
"S5 140-3","S",5,1.25,15,"D",NA,143,2.33826805589518,0,1
"N5 50-4","N",5,2.77,0,"Z",NA,54,1.76842964400047,0,0
"N5 50-4","N",5,2.77,5,"D",NA,54,1.76842964400047,0,1
"S2 80-7","S",2,2.13,0,"Z",NA,87,3.21079254261221,0,0
"S2 80-7","S",2,2.13,10,"D",NA,87,3.21079254261221,0,1
"S2 80-7","S",2,2.13,10,"D",NA,87,3.21079254261221,0,1
"S2 80-7","S",2,2.13,15,"Z",NA,87,3.21079254261221,0,0
"N2 30-0","N",2,3.23,0,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,5,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,10,"Z",NA,30,-4.59158765104885,0,0
"N2 30-0","N",2,3.23,15,"D",NA,30,-4.59158765104885,0,1
"N2 30-0","N",2,3.23,15,"D",NA,30,-4.59158765104885,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,0,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,5,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,10,"D",NA,63,-0.713552285726181,0,1
"C 60-3","C",0,2.45,15,"Z",NA,63,-0.713552285726181,0,0
"N5 80-1","N",5,2.33,0,"Z",NA,81,NA,0,0
"N5 80-1","N",5,2.33,5,"Z",NA,81,NA,0,0
"N5 80-1","N",5,2.33,15,"Z",NA,81,NA,0,0
"S10 130-9","S",10,1.86,0,"D",NA,139,2.03232416734516,0,1
"S10 130-9","S",10,1.86,0,"D",NA,139,2.03232416734516,0,1
"S10 130-9","S",10,1.86,5,"Z",NA,139,2.03232416734516,0,0
"S10 130-9","S",10,1.86,10,"Z",NA,139,2.03232416734516,0,0
"S10 130-9","S",10,1.86,15,"Z",NA,139,2.03232416734516,0,0
"S5 70-0","S",5,2.64,0,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,15,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,0,"Z",NA,70,-2.38372523272129,0,0
"S5 70-0","S",5,2.64,5,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,10,"D",NA,70,-2.38372523272129,0,1
"S5 70-0","S",5,2.64,15,"Z",NA,70,-2.38372523272129,0,0
"S2 60-9","S",2,2.59,0,"D",NA,69,-0.415845315859426,0,1
"S2 60-9","S",2,2.59,0,"D",NA,69,-0.415845315859426,0,1
"S2 60-9","S",2,2.59,5,"Z",NA,69,-0.415845315859426,0,0
"S2 60-9","S",2,2.59,10,"Z",NA,69,-0.415845315859426,0,0
"S5 30-5","S",5,3.37,0,"Z",NA,35,-0.121782489038967,0,0
"S5 30-5","S",5,3.37,5,"Z",NA,35,-0.121782489038967,0,0
"S5 30-5","S",5,3.37,10,"D",NA,35,-0.121782489038967,0,1
"S5 30-5","S",5,3.37,15,"Z",NA,35,-0.121782489038967,0,0
"S5 60-0","S",5,2.8,0,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,0,"Z",NA,60,0.0964558308029753,0,0
"S5 60-0","S",5,2.8,5,"Z",NA,60,0.0964558308029753,0,0
"S5 60-0","S",5,2.8,10,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,10,"D",NA,60,0.0964558308029753,0,1
"S5 60-0","S",5,2.8,15,"Z",NA,60,0.0964558308029753,0,0
"S2 90-9","S",2,2.01,0,"Z",NA,99,-1.32369065476558,0,0
"S2 90-9","S",2,2.01,5,"Z",NA,99,-1.32369065476558,0,0
"S2 90-9","S",2,2.01,15,"Z",NA,99,-1.32369065476558,0,0
"S2 90-9","S",2,2.01,10,"D",NA,99,-1.32369065476558,0,1
"S2 90-9","S",2,2.01,10,"D",NA,99,-1.32369065476558,0,1
"C 30-4","C",0,3.3,0,"D",NA,34,-2.99781439591645,0,1
"C 30-4","C",0,3.3,0,"D",NA,34,-2.99781439591645,0,1
"C 30-4","C",0,3.3,5,"Z",NA,34,-2.99781439591645,0,0
"C 30-4","C",0,3.3,10,"Z",NA,34,-2.99781439591645,0,0
"C 30-4","C",0,3.3,15,"D",NA,34,-2.99781439591645,0,1
"C 30-4","C",0,3.3,15,"D",NA,34,-2.99781439591645,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,0,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,5,"D",NA,86,1.03491744543117,0,1
"N2 80-6","N",2,2.17,10,"Z",NA,86,1.03491744543117,0,0
"N2 80-6","N",2,2.17,15,"Z",NA,86,1.03491744543117,0,0
"N2 40-0","N",2,3.09,0,"Z",NA,40,-0.472197548982814,0,0
"N2 40-0","N",2,3.09,5,"Z",NA,40,-0.472197548982814,0,0
"N2 40-0","N",2,3.09,10,"Z",NA,40,-0.472197548982814,0,0
"N2 40-0","N",2,3.09,15,"Z",NA,40,-0.472197548982814,0,0
"S2 110-2","S",2,1.76,0,"Z",NA,112,-0.419903088335641,0,0
"S2 110-2","S",2,1.76,5,"Z",NA,112,-0.419903088335641,0,0
"S2 110-2","S",2,1.76,10,"Z",NA,112,-0.419903088335641,0,0
"S2 110-2","S",2,1.76,15,"D",NA,112,-0.419903088335641,0,1
"S2 110-2","S",2,1.76,15,"D",NA,112,-0.419903088335641,0,1
"S2 110-2","S",2,1.76,15,"D",NA,112,-0.419903088335641,0,1
"S2 110-2","S",2,1.76,15,"D",NA,112,-0.419903088335641,0,1
"C 50-3","C",0,2.6,0,"Z",NA,53,-1.2876209862141,0,0
"C 50-3","C",0,2.6,5,"Z",NA,53,-1.2876209862141,0,0
"C 50-3","C",0,2.6,10,"Z",NA,53,-1.2876209862141,0,0
"C 50-3","C",0,2.6,15,"Z",NA,53,-1.2876209862141,0,0
"N10 20-0","N",10,4.17,0,"Z",NA,20,-0.814750027919446,0,0
"N10 20-0","N",10,4.17,5,"Z",NA,20,-0.814750027919446,0,0
"N10 20-0","N",10,4.17,15,"Z",NA,20,-0.814750027919446,0,0
"N10 20-0","N",10,4.17,10,"D",NA,20,-0.814750027919446,0,1
"S2 40-9","S",2,3,0,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,0,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,5,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,10,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,10,"D",NA,49,-0.52058191992948,0,1
"S2 40-9","S",2,3,15,"Z",NA,49,-0.52058191992948,0,0
"N2 130-0","N",2,1.46,0,"Z",NA,130,-0.721595930349489,0,0
"N2 130-0","N",2,1.46,5,"Z",NA,130,-0.721595930349489,0,0
"N2 130-0","N",2,1.46,10,"Z",NA,130,-0.721595930349489,0,0
"N2 130-0","N",2,1.46,15,"Z",NA,130,-0.721595930349489,0,0
