"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"67","S10 60-5","S",10,2.63,15,"A",37.12,-0.044778466891024,0.221595841694489,0.275748799069172,1.00228662716535,0.6918,65,1,0
"68","S5 80-0","S",5,2.41,10,"A",37.06,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"69","N10 50-3","N",10,2.65,5,"A",37.05,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"70","S10 80-7","S",10,2.3,5,"A",37.02,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"71","N5 80-1","N",5,2.33,10,"A",35.8,NA,NA,NA,NA,NA,81,1,0
"72","N5 50-4","N",5,2.77,15,"A",35.22,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"73","N10 40-6","N",10,2.94,5,"A",34.85,0.121441324953731,-0.298589885236687,-0.640541932804983,-1.47207115196788,0.8169,46,1,0
"74","N10 100-7","N",10,1.79,5,"A",34.82,NA,NA,NA,NA,NA,107,1,0
"75","S10 80-7","S",10,2.3,5,"A",34.8,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"76","S2 70-5","S",2,2.49,5,"A",34.75,0.0415822214301644,-0.00382524436051961,-0.235076824696819,0.438740823655617,0.7542,75,1,0
"77","N10 50-3","N",10,2.65,10,"A",34.59,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"78","N5 50-4","N",5,2.77,15,"A",34.59,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"79","S5 80-0","S",5,2.41,5,"A",34.59,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"80","S2 90-9","S",2,2.01,10,"A",34.52,0.155852804944543,-0.469278979504278,-0.235076824696819,-1.32369065476558,0.8455,99,1,0
"81","N2 90-0","N",2,2.13,10,"A",34.52,0.15986603034983,-0.490912074859704,-0.640541932804983,-2.04792250831147,0.8489,90,1,0
"82","N5 50-4","N",5,2.77,10,"A",34.42,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"83","S5 80-0","S",5,2.41,5,"A",34.34,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"84","N10 50-3","N",10,2.65,5,"A",34.23,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"85","N5 50-4","N",5,2.77,15,"A",34.09,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"86","N10 50-3","N",10,2.65,15,"A",33.56,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"87","S10 80-7","S",10,2.3,0,"A",33.54,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"88","S10 50-7","S",10,2.82,10,"A",33.43,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,1,0
"89","N5 50-4","N",5,2.77,10,"A",33.25,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"90","N10 50-3","N",10,2.65,15,"A",33.14,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"91","N5 40-2","N",5,3.18,15,"A",33.1,0.193343413860041,-0.736844816167842,2.40398050491844,-1.41006578516501,0.8778,42,1,0
"92","S2 60-9","S",2,2.59,15,"A",32.76,-0.00649220848468834,0.131181037278979,-1.33368911336493,-0.415845315859426,0.7188,69,1,0
"93","S5 80-0","S",5,2.41,0,"A",32.67,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
