"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","PC1"
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,5,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,10,"Z",NA,1.03491744543117
"N2 80-6","N",2,2.17,15,"Z",NA,1.03491744543117
"N2 40-0","N",2,3.09,0,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,5,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,10,"Z",NA,-0.472197548982814
"N2 40-0","N",2,3.09,15,"Z",NA,-0.472197548982814
"S2 110-2","S",2,1.76,0,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,5,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,10,"Z",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"A",94.63,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"D",NA,-0.41990308833564
"S2 110-2","S",2,1.76,15,"A",15.65,-0.41990308833564
"C 50-3","C",0,2.6,0,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,5,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,10,"Z",NA,-1.2876209862141
"C 50-3","C",0,2.6,15,"Z",NA,-1.2876209862141
"N10 20-0","N",10,4.17,0,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,5,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,15,"Z",NA,-0.814750027919444
"N10 20-0","N",10,4.17,10,"D",NA,-0.814750027919444
"S2 40-9","S",2,3,0,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,0,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,5,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,10,"D",NA,-0.520581919929478
